0,AD
1,AE
2,AL
3,AM
4,AO
5,AP
6,AR
7,AT
8,AU
9,AW
10,AZ
11,BA
12,BB
13,BD
14,BE
15,BF
16,BG
17,BH
18,BM
19,BN
20,BO
21,BR
22,BS
23,BY
24,CA
25,CH
26,CL
27,CN
28,CO
29,CR
30,CY
31,CZ
32,DE
33,DJ
34,DK
35,DM
36,DO
37,DZ
38,EC
39,EE
40,EG
41,ES
42,EU
43,FI
44,FJ
45,FR
46,GB
47,GE
48,GF
49,GG
50,GH
51,GI
52,GL
53,GR
54,GT
55,GU
56,GY
57,HK
58,HN
59,HR
60,HU
61,ID
62,IE
63,IL
64,IM
65,IN
66,IQ
67,IR
68,IS
69,IT
70,JE
71,JM
72,JO
73,JP
74,KE
75,KG
76,KH
77,KR
78,KW
79,KY
80,KZ
81,LA
82,LB
83,LK
84,LT
85,LU
86,LV
87,LY
88,MA
89,MD
90,ME
91,MG
92,MK
93,MM
94,MN
95,MO
96,MQ
97,MT
98,MU
99,MV
100,MX
101,MY
102,NC
103,NG
104,NI
105,NL
106,NO
107,NP
108,NZ
109,OM
110,PA
111,PE
112,PF
113,PG
114,PH
115,PK
116,PL
117,PR
118,PS
119,PT
120,PY
121,QA
122,RO
123,RS
124,RU
125,SA
126,SD
127,SE
128,SG
129,SI
130,SK
131,SM
132,SN
133,SR
134,SV
135,SX
136,SY
137,SZ
138,TC
139,TH
140,TN
141,TR
142,TT
143,TW
144,TZ
145,UA
146,US
147,UY
148,UZ
149,VE
150,VN
151,XX
152,ZA
